cfg_id,day,ok,aco_pnl,total_pnl,cfg_json,make_offset,min_take_edge,maker_mode,make_portion,soft_cap,skew_strength,ema_alpha
10,0,True,19768.0,19768.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",0,2,join,0.8,60,0,0.25
10,-1,True,20902.0,20902.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",0,2,join,0.8,60,0,0.25
11,-2,True,18799.0,18799.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",0,3,join,0.8,60,0,0.25
11,0,True,18849.0,18849.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",0,3,join,0.8,60,0,0.25
11,-1,True,19936.0,19936.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",0,3,join,0.8,60,0,0.25
12,-2,True,17248.0,17248.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",1,0,join,0.8,60,0,0.25
12,0,True,17760.0,17760.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",1,0,join,0.8,60,0,0.25
13,-1,True,19302.0,19302.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",1,1,join,0.8,60,0,0.25
13,-2,True,17881.0,17881.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",1,1,join,0.8,60,0,0.25
12,-1,True,18944.0,18944.0,"{""ema_alpha"": 0.25, ""make_offset"": 1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",1,0,join,0.8,60,0,0.25
