cfg_id,day,ok,ipr_pnl,total_pnl,cfg_json,maker_mode,make_offset,min_take_edge,make_portion,soft_cap,skew_strength,bid_frac,ask_frac,pressure_mode,quote_bias_ticks,size_haircut,spread_threshold,position_target,long_take_edge
7,-1,True,71912.0,71912.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 2, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,2,1.0,3,0,
6,-2,True,72090.0,72090.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 1, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,1,1.0,3,0,
6,0,True,67247.0,67247.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 1, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,1,1.0,3,0,
7,0,True,74859.0,74859.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 2, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,2,1.0,3,0,
8,-2,True,73862.0,73862.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 3, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,3,1.0,3,0,
9,-2,True,31748.0,31748.0,"{""ask_frac"": 0.5, ""bid_frac"": 0.5, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.5,0.5,long_bias,0,1.0,3,0,
9,0,True,21578.0,21578.0,"{""ask_frac"": 0.5, ""bid_frac"": 0.5, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.5,0.5,long_bias,0,1.0,3,0,
9,-1,True,38014.0,38014.0,"{""ask_frac"": 0.5, ""bid_frac"": 0.5, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.5,0.5,long_bias,0,1.0,3,0,
8,0,True,75356.0,75356.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 3, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,3,1.0,3,0,
8,-1,True,72760.0,72760.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 3, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,3,1.0,3,0,
